"track","artist"
"Shape of You","Ed Sheeran"
"New Rules","Dua Lipa"
"Girls Like You (feat. Cardi B)","Maroon 5"
"Memories","Maroon 5"
"A Thousand Years","Christina Perri"
"Perfect","Ed Sheeran"
"Roar","Katy Perry"
"Señorita","Shawn Mendes"
"Let Her Go","Passenger"
"Somebody That I Used To Know","Gotye"
"ocean eyes","Billie Eilish"
"Don't Start Now","Dua Lipa"
"Dark Horse","Katy Perry"
"Thinking out Loud","Ed Sheeran"
"We Don't Talk Anymore","Charlie Puth"
"Lose You To Love Me","Selena Gomez"
"On The Floor - Radio Edit","Jennifer Lopez"
"Womanizer","Britney Spears"
"Sugar","Maroon 5"
"Someone You Loved","Lewis Capaldi"
"Uptown Funk","Mark Ronson"
"Counting Stars","OneRepublic"
"Dusk Till Dawn - Radio Edit","ZAYN"
"I Don't Care (with Justin Bieber)","Ed Sheeran"
"Hips Don't Lie (feat. Wyclef Jean)","Shakira"
"Bon appétit","Katy Perry"
"Photograph","Ed Sheeran"
"Beautiful People (feat. Khalid)","Ed Sheeran"
"FRIENDS","Marshmello"
"Just the Way You Are","Bruno Mars"
"Diamonds","Rihanna"
"Facts","Breanna Rubio"
"How Do You Sleep?","Sam Smith"
"The Lazy Song","Bruno Mars"
"Rockabye (feat. Sean Paul & Anne-Marie)","Clean Bandit"
"Let Me Down Slowly","Alec Benjamin"
"Look At Her Now","Selena Gomez"
"Chandelier","Sia"
"Sorry","Justin Bieber"
"Hello","Adele"
"It's You","Ali Gatie"
"Happy","Pharrell Williams"
"Say You Won't Let Go","James Arthur"
"Don't Wanna Know (feat. Kendrick Lamar)","Maroon 5"
"You Need To Calm Down","Taylor Swift"
"Someone Like You","Adele"
"Too Good At Goodbyes","Sam Smith"
"Bang Bang","Jessie J"
"Lover","Taylor Swift"
"Bad Romance","Lady Gaga"
"Halo","Beyoncé"
"Treat You Better","Shawn Mendes"
"ME! (feat. Brendon Urie of Panic! At The Disco)","Taylor Swift"
"Black Magic","Little Mix"
"24K Magic","Bruno Mars"
"Roses - Imanbek Remix","SAINt JHN"
"IDGAF","Dua Lipa"
"break up with your girlfriend, i'm bored","Ariana Grande"
"Shake It Off","Taylor Swift"
"Work from Home (feat. Ty Dolla $ign)","Fifth Harmony"
"Rude","MAGIC!"
"Blank Space","Taylor Swift"
"Cheap Thrills (feat. Sean Paul)","Sia"
"Attention","Charlie Puth"
"No One's Gonna Ever Love U","Delacey"
"Chills","Asher Angel"
"Hymn for the Weekend - Seeb Remix","Coldplay"
"You're Beautiful","James Blunt"
"Despacito (Featuring Daddy Yankee)","Luis Fonsi"
"Dancing With A Stranger (with Normani)","Sam Smith"
"Bad Liar","Imagine Dragons"
"Rolling in the Deep","Adele"
"Don’t Call Me Angel (Charlie’s Angels) (with Miley Cyrus & Lana Del Rey)","Ariana Grande"
"When I Was Your Man","Bruno Mars"
"7 rings","Ariana Grande"
"One Match Fire","Andrew Paley"
"Caroline","Andrew Paley"
"That's What I Like","Bruno Mars"
"I'm Yours","Jason Mraz"
"Don't Call Me Up","Mabel"
"Side To Side","Ariana Grande"
"Sober","Justin Love"
"Poker Face","Lady Gaga"
"Just Give Me a Reason (feat. Nate Ruess)","P!nk"
"What Lovers Do (feat. SZA)","Maroon 5"
"Spending My Time","Roxette"
"Love Me Like You Do - From ""Fifty Shades Of Grey""","Ellie Goulding"
"One Kiss (with Dua Lipa)","Calvin Harris"
"boyfriend (with Social House)","Ariana Grande"
"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")","Justin Timberlake"
"Let Me Love You","DJ Snake"
"Say My Name","David Guetta"
"Without Me","Halsey"
"comethru","Jeremy Zucker"
"No Lie","Sean Paul"
"Shallow","Lady Gaga"
"Havana (feat. Young Thug)","Camila Cabello"
"You Are The Reason","Calum Scott"
"Meant to Be (feat. Florida Georgia Line)","Bebe Rexha"
"Sucker","Jonas Brothers"
"Look What You Made Me Do","Taylor Swift"
"See You Again (feat. Charlie Puth)","Wiz Khalifa"
"7 Years","Lukas Graham"
"Sweet but Psycho","Ava Max"
"High Hopes","Panic! At The Disco"
"I'm Not The Only One","Sam Smith"
"Locked Away","R. City"
"thank u, next","Ariana Grande"
"Stay With Me","Sam Smith"
"Let You Love Me","Rita Ora"
"Ghost","Halsey"
"If I Can't Have You","Shawn Mendes"
"There's Nothing Holdin' Me Back","Shawn Mendes"
"R.I.P. (feat. Rita Ora & Anitta)","Sofia Reyes"
"Believer","Imagine Dragons"
"Thunder","Imagine Dragons"
"Heathens","Twenty One Pilots"
"Don't Let Me Down","The Chainsmokers"
"Something Just Like This","The Chainsmokers"
"Lean On (feat. MØ & DJ Snake)","Major Lazer"
"Happier","Marshmello"
"Mi Gente","J Balvin"
"Giant (with Rag'n'Bone Man)","Calvin Harris"
"Waiting For Love","Avicii"
"Perfect Strangers","Jonas Blue"
"Mama","Jonas Blue"
"When I Die","Alexander 23"
"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)","DJ Khaled"
"Nevermind","Dennis Lloyd"
"All of Me","John Legend"
"Eastside (with Halsey & Khalid)","benny blanco"
"Wake Me Up - Radio Edit","Avicii"
"Swalla (feat. Nicki Minaj & Ty Dolla $ign)","Jason Derulo"
"Sign of the Times","Harry Styles"
"Symphony (feat. Zara Larsson)","Clean Bandit"
"Solo (feat. Demi Lovato)","Clean Bandit"
"Rewrite The Stars (with James Arthur & Anne-Marie)","James Arthur"
"Thunderclouds","Sia"
"Taki Taki (with Selena Gomez, Ozuna & Cardi B)","DJ Snake"
"Faded","Alan Walker"
"Stressed Out","Twenty One Pilots"
"Human","Rag'n'Bone Man"
"Unforgettable","French Montana"
"Starboy","The Weeknd"
"This Is What You Came For","Calvin Harris"
"no tears left to cry","Ariana Grande"
"Love Yourself","Justin Bieber"
"Stitches","Shawn Mendes"
"2002","Anne-Marie"
"Say It Right - Main","Nelly Furtado"
"Into You","Ariana Grande"
"All About That Bass","Meghan Trainor"
"Psycho (feat. Ty Dolla $ign)","Post Malone"
"Rise","Jonas Blue"
"Crazy Little Thing Called Love - Remastered 2011","Queen"
"Be the One","Dua Lipa"
"Tuesday (feat. Danelle Sandoval)","Burak Yeter"
"Love Someone","Lukas Graham"
"Stolen Dance","Milky Chance"
"Like I'm Gonna Lose You (feat. John Legend)","Meghan Trainor"
"Call Me Maybe","Carly Rae Jepsen"
"You Belong With Me","Taylor Swift"
"Get Lucky, Full Mix (Originally Performed By Daft Punk & Pharrell Williams) - Karaoke Version","Hit Tunes Karaoke"
"Burn","Ellie Goulding"
"Light It Up (feat. Nyla & Fuse ODG) [Remix]","Major Lazer"
"Firestone (feat. Conrad Sewell)","Kygo"
"Stay","Rihanna"
"Flashlight - From ""Pitch Perfect 2"" Soundtrack","Jessie J"
"Love Me Again","John Newman"
"Dancing On My Own","Calum Scott"
"Grenade","Bruno Mars"
"Riptide","Vance Joy"
"Secret Love Song (feat. Jason Derulo)","Little Mix"
"What Makes You Beautiful","One Direction"
"Million Reasons","Lady Gaga"
"Dernière danse","Indila"
"You're the One That I Want (In the Style of Olivia Newton-John & John Travolta) [Karaoke Version]","Ameritz Karaoke Entertainment"
"Sugar (feat. Francesco Yates)","Robin Schulz"
"Send My Love (To Your New Lover)","Adele"
"Take A Bow","Rihanna"
"Somebody To Love - Remastered 2011","Queen"
"Fight Song","Rachel Platten"
"Hot N Cold","Katy Perry"
"In the Name of Love","Martin Garrix"
"Scared to Be Lonely","Martin Garrix"
"We Are Young (feat. Janelle Monáe)","fun."
"Try Everything - From ""Zootropolis""","Shakira"
"One Call Away","Charlie Puth"
"What Do You Mean?","Justin Bieber"
"Runnin' (Lose It All)","Naughty Boy"
"Let It Go","James Bay"
"Hold On","Chord Overstreet"